App,Rating,Installs,Price,"DSLU (days since dec 1, 202)",Reviews,Size,Type,Current Ver,Android Ver,Category,Genres,Content Rating
Prestige AH,4,100,0,2030,2,2.90E+07,Free,300000.0.81,4.0.3 and up,MEDICAL,Medical,Everyone
Ebenezer AH,4,500,0,2036,4,2.70E+07,Free,300000.0.79,4.0.3 and up,MEDICAL,Medical,Everyone
AH-1 Viper Cobra Ops - helicopter flight simulator,3.8,100000,0,1749,1088,8.60E+07,Free,1.0.1,4.3 and up,GAME,Action,Teen
Ah! Bird,3.5,100000,0,1920,1689,5.7,Free,1.5.062,4.3 and up,SPORTS,Sports,Everyone
Brandon Lakes AH,2.6,100,0,2036,5,2.70E+07,Free,300000.0.79,4.0.3 and up,MEDICAL,Medical,Everyone
Ah! Coins,3.4,50000,0,2184,256,9.1,Free,1.0.0,2.3 and up,GAME,Action,Everyone
Replika,4.5,1000000,0,1581,45458,3.50E+07,Free,1.5.49,4.4 and up,FAMILY,Entertainment,Mature 17+
Ai illustrator viewer,3.4,100000,0,1589,486,5.9,Free,5.7,5.0 and up,ART_AND_DESIGN,Art & Design,Everyone
Real AI,3.8,50000,0,1593,949,1.2,Free,4.9,4.0 and up,FAMILY,Entertainment,Everyone
The Artificial Intelligence Project (A.I. Chat),3,5000,1.99,1708,76,3.90E+07,Paid,1.2,2.3 and up,FAMILY,Simulation,Everyone
Virtual Assistant DataBot: Artificial Intelligence,4.4,1000000,0,1584,80927,2.70E+07,Free,7.2.5,4.0 and up,FAMILY,Entertainment,Everyone
ALPHA - Artificial Intelligence,4,1000,0,1642,51,3.2,Free,1.3.4,4.0 and up,FAMILY,Entertainment,Everyone
Artificial Intelligence,3.9,50000,0,1701,339,4.2,Free,6.2,4.0 and up,FAMILY,Education,Everyone
Orbita AI â€” Exciting mobile puzzles & riddles,4.6,1000000,0,1708,116973,3.10E+07,Free,1.1.9.1,4.1 and up,FAMILY,Puzzle,Everyone
SMS AI Bot,3.8,10000,0,1614,89,3.9,Free,3.0.4,4.1 and up,TOOLS,Tools,Everyone
ChatBot AI Talking Girl,3.8,100000,0,1584,3597,2.50E+07,Free,1.0.16,4.0.3 and up,FAMILY,Entertainment,Everyone 10+
Youper - AI Therapy,4.6,50000,0,1581,1976,6.90E+07,Free,6.02.000,6.0 and up,MEDICAL,Medical,Everyone
ParaTek Ai Speech generator,3.6,50000,0,2079,448,4.3,Free,1.9,1.6 and up,TOOLS,Tools,Everyone
Extreme- Personal Voice Assistant,4.4,1000000,0,1579,25627,9.8,Free,132,5.0 and up,PRODUCTIVITY,Productivity,Everyone
AI Face Beauty Analysis - IntelliFace (Free),3.1,10000,0,1695,40,1.30E+07,Free,20,4.1 and up,BEAUTY,Beauty,Everyone
Robin - AI Voice Assistant,4.2,1000000,0,1579,55313,1.60E+07,Free,4.435,4.1 and up,MAPS_AND_NAVIGATION,Maps & Navigation,Everyone
Learn Artificial Intelligence,4.6,10000,0,1601,27,4.2,Free,1.1.4,4.1 and up,FAMILY,Education,Everyone
AI Benchmark,4,5000,0,1616,97,9.90E+07,Free,2.0.0,4.1 and up,TOOLS,Tools,Everyone
AI Today : Artificial Intelligence News & AI 101,5,100,0,1623,43,2.3,Free,1,4.4 and up,NEWS_AND_MAGAZINES,News & Magazines,Everyone
Tomo A.i. Pet Chat Bot,3.3,1000,0,2026,40,3.6,Free,1,4.0.3 and up,FAMILY,Entertainment,Everyone
Puck AI Personal Assistant Robot,4.1,1000,0,1855,22,2.60E+07,Free,1.5,4.0.3 and up,PRODUCTIVITY,Productivity,Everyone
Builder (by Engineer.ai),3.6,100,0,1853,8,3.2,Free,1.2-Release,4.1 and up,PRODUCTIVITY,Productivity,Everyone
Chat With Artificial Intelligence,3.2,1000,0,1666,32,2.8,Free,1,4.0 and up,FAMILY,Entertainment,Everyone
Friday: Smart Personal Assistant,4.4,100000,0,1621,2087,8.3,Free,20,5.0 and up,PRODUCTIVITY,Productivity,Everyone
Virtual Eye AI,4.4,500,0,1649,26,3.8,Free,1.2,4.0 and up,TOOLS,Tools,Everyone
Lyra Virtual Assistant,4.5,1000000,0,1652,41624,3.4,Free,1.2.4,4.0.3 and up,PRODUCTIVITY,Productivity,Everyone
2048(AI),4.3,1000,0,2738,20,3.5,Free,0.33,2.3 and up,FAMILY,Casual,Everyone
ai robot keyboard,4.7,100000,0,1652,1891,1.9,Free,10001008,4.0.3 and up,PERSONALIZATION,Personalization,Everyone
AI with Python Tutorial,4.4,5000,0,1640,8,3.3,Free,1.0.4,4.1 and up,FAMILY,Education,Everyone
FaceApp,4.4,10000000,0,1755,346681,7.1,Free,2.0.949,4.4 and up,PHOTOGRAPHY,Photography,Everyone
Message AI - Write Better Messages (Free),3.7,100,0,1611,3,7.9,Free,1.3.1-lite,5.0 and up,SOCIAL,Social,Everyone
ChatBolo - AI Chatbot Online,3.3,100000,0,2624,1407,1.4,Free,2.1,2.2 and up,FAMILY,Entertainment,Everyone
MiAI (Artificial Intelligence) Assistant,3.7,100,0,1736,3,7.5,Free,11.04,4.1 and up,PRODUCTIVITY,Productivity,Everyone
AI Draw | Art Filter for Selfie,3,1000,2.99,1627,20,4.3,Paid,1.4.7,5.0 and up,PHOTOGRAPHY,Photography,Everyone
Turbo AIâ„¢ - Personal assistant,2.6,5000,0,1599,91,2.8,Free,0.0.52,4.0.3 and up,PRODUCTIVITY,Productivity,Everyone
AI Sight,3.5,1000,0,1627,43,4.80E+07,Free,1.2,4.0.3 and up,PRODUCTIVITY,Productivity,Everyone
Jarvis artificial intelligent,3.9,10000,0,1709,253,1.40E+07,Free,1.1,2.3 and up,FAMILY,Entertainment,Everyone
Age of AI: War Strategy,4.6,500,2.49,1723,71,5.7,Paid,1.8,4.0 and up,FAMILY,Strategy,Everyone
DREAM-e: Dream Analysis A.I.,3.8,10000,0,3573,89,939000,Free,2.3,2.1 and up,LIFESTYLE,Lifestyle,Everyone
Animal Jam - Play Wild!,4.6,5000000,0,1582,361734,5.80E+07,Free,28.0.14,4.1 and up,FAMILY,Casual;Pretend Play,Everyone
AJ Jump: Animal Jam Kangaroos!,4.4,50000,1.99,2460,2975,4.20E+07,Paid,1.6,4.0 and up,GAME,Arcade,Everyone
AJ Academy: Amazing Animals,4.5,50000,0,1651,1564,3.50E+07,Free,1.1.0,4.1 and up,FAMILY,Educational;Education,Everyone
Dash Tag - Fun Endless Runner!,4.5,100000,0,1632,6750,4.30E+07,Free,2.0.3,4.3 and up,FAMILY,Casual,Everyone
Jamaa Amino for Animal Jam,4.7,10000,0,1602,3873,6.30E+07,Free,1.8.19106,4.0.3 and up,SOCIAL,Social,Teen
Tunnel Town,4.4,1000000,0,1589,74744,6.00E+07,Free,1.5.6,4.1 and up,FAMILY,Strategy,Everyone
AJ Cam,5,100,0,1773,44,2.8,Free,1,4.1 and up,PHOTOGRAPHY,Photography,Everyone
Club Penguin Island,2.8,1000000,0,1605,107441,3.20E+07,Free,1.10.5,4.4 and up,FAMILY,Casual;Action & Adventure,Everyone
AJ Official,4.6,500,0,2038,31,7.3,Free,0.1,2.3 and up,FAMILY,Education,Everyone
AJ Bell Youinvest,2.8,10000,0,1641,135,5.3,Free,2.13.0.65,4.4 and up,FINANCE,Finance,Everyone
Hey AJ! It's Saturday!,5,100,3.99,2362,12,5.00E+07,Paid,1.0.0,2.2 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Selfie With Champion AJ Style,5,500,0,1788,2,7.5,Free,1,3.2 and up,PHOTOGRAPHY,Photography,Everyone
Baby Game Animal Jam Free,2.8,500,0,2078,9,2.60E+07,Free,1,2.3 and up,GAME,Board,Everyone
Blackjack aj Poker,3.8,1000,0,2234,8,4.2,Free,1.1,2.3.3 and up,GAME,Card,Teen
Bonza Poly Art - Tenkyu Animal Jam for Kids,4.1,1000,0,1581,22,3.10E+07,Free,1.0.9,4.1 and up,FAMILY,Puzzle,Everyone
AJ Player,4.8,100,0,1684,18,1.7,Free,1.6.3.1,5.0 and up,VIDEO_PLAYERS,Video Players & Editors,Everyone
AJ RETAILS,5,10,0,1644,9,169000,Free,18060104,2.2 and up,SHOPPING,Shopping,Everyone
Hey AJ! It's Bedtime!,5,10,4.99,1702,1,6.30E+07,Paid,1.0.59,2.3 and up,FAMILY,Education,Everyone
AJ Percent Off Calculator,4.4,10000,0,3467,134,45000,Free,1.2,2.2 and up,SHOPPING,Shopping,Everyone
AJ Men's Grooming,5,100,0,1921,2,2.20E+07,Free,5,4.1 and up,LIFESTYLE,Lifestyle,Everyone
Watch Face Swiss AJ-6,4.1,100,0.99,1898,21,3.6,Paid,1.35,4.3 and up,PERSONALIZATION,Personalization,Everyone
AJ Styles HD Wallpapers,4.8,5000,0,1580,48,2.50E+07,Free,1.1.1,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
AJ Gray Icon Pack,4.8,50,0.99,1684,5,3.50E+07,Paid,1.1,4.1 and up,PERSONALIZATION,Personalization,Everyone
AJ Styles Wallpaper 2018 - AJ Styles HD Wallpaper,4,1000,0,1715,18,3.6,Free,1.1,4.0 and up,ART_AND_DESIGN,Art & Design,Everyone
AJ Gray Dark Icon Pack,5,10,0.99,1677,2,3.50E+07,Paid,1.1,4.1 and up,PERSONALIZATION,Personalization,Everyone
Little Pets Animal Guardians,4.6,100000,0,1636,18893,9.10E+07,Free,1.4.1,4.0.3 and up,FAMILY,Casual;Pretend Play,Everyone
AJ Blue Icon Pack,5,50,0.99,1679,4,3.10E+07,Paid,1.1,4.1 and up,PERSONALIZATION,Personalization,Everyone
My Wild Pet: Online Animal Sim,4.5,500000,0,2085,26916,6.70E+07,Free,2.7,4.0.3 and up,FAMILY,Casual;Pretend Play,Everyone
AJ Rafael Music Lessons,5,10,0,1828,1,8.2,Free,1.2.1,4.1 and up,FAMILY,Entertainment,Everyone
How it works: AK-74N,4.4,100000,0,1787,1031,4.80E+07,Free,2.1.9f0,4.0.3 and up,FAMILY,Entertainment,Everyone
AK-47: Simulator and Shooting,4,100000,0,2211,345,1.40E+07,Free,1.3.0,3.0 and up,FAMILY,Simulation,Everyone 10+
AK-47 Sounds,3.9,500000,0,2269,656,2.9,Free,2,2.3.3 and up,FAMILY,Entertainment,Everyone 10+
AK 47 Live Wallpaper,4.1,50000,0,1625,585,4.4,Free,1.3,4.1 and up,PERSONALIZATION,Personalization,Everyone
Puppy Shooting an AK-47: Platformer Zombie Game,4.8,1000,0,1707,21,8.90E+07,Free,0.46.91,4.4 and up,GAME,Arcade,Everyone
AK Interactive,4.3,10000,0,1603,734,1.30E+07,Free,2.5,4.0 and up,FAMILY,Entertainment,Everyone
AK-47 sounds,3.9,1000,0,1627,7,3.8,Free,568,4.0 and up,FAMILY,Entertainment,Everyone
Wallpapers AK 47 Guns,4.5,5000,0,2104,37,1.50E+07,Free,1,4.1 and up,PERSONALIZATION,Personalization,Teen
AK-47 Assault Rifle,3.7,10000,0,2776,165,2.50E+07,Free,1,2.3 and up,FAMILY,Entertainment,Teen
Crisis Action: 2018 NO.1 FPS,4.3,10000000,0,1604,807226,3.40E+07,Free,3.0.2,4.0.3 and up,GAME,Action,Teen
AK 47 Guns Wallpaper,4.2,50000,0,2012,322,6.8,Free,1,4.1 and up,PERSONALIZATION,Personalization,Everyone
AK-47 3D,3.7,10000,0,2167,91,2.40E+07,Free,3.2,2.3 and up,GAME,Action,Everyone
Book of AK-47,3.8,500,0,2466,6,3.4,Free,1.0.2,4.0.3 and up,LIFESTYLE,Lifestyle,Everyone
Weapon stripping 3D,4.6,1000000,0,1580,23971,2.40E+07,Free,39.231,4.1 and up,FAMILY,Simulation,Everyone
Weapon AK-74 Live Wallpaper,3.3,1000,0,2074,25,4.60E+07,Free,1.2,4.0.3 and up,PERSONALIZATION,Personalization,Everyone
Shoot M-16 vs AK-47 : realistic weapon simulator,3,100,0,1597,2,3.30E+07,Free,1,4.1 and up,FAMILY,Simulation,Everyone
Counter Terrorist Attack,3.9,10000000,0,1645,145931,4.30E+07,Free,5.3.2,2.3 and up,GAME,Action,Teen
RULES OF SURVIVAL,4.2,10000000,0,1583,1343106,5.60E+07,Free,1.180271.184729,4.0 and up,GAME,Action,Teen
AK47 Assault Rifle,3.9,10000,0,2770,54,2.8,Free,1.0.0.1,2.2 and up,TOOLS,Tools,Everyone
Weapons simulator AK-47,4.1,5000,0,2026,21,2.60E+07,Free,1,4.1 and up,FAMILY,Simulation,Everyone
AK 47 Lock Screen,4.6,500,0,1754,5,8.8,Free,1,4.0.3 and up,PERSONALIZATION,Personalization,Mature 17+
AK Phone,4.4,5000,0,2012,9,4.2,Free,3.8.8,2.2 and up,COMMUNICATION,Communication,Everyone
AK Booster,3.8,10000,0,1674,71,7,Free,2.0.1.966,4.4 and up,TOOLS,Tools,Everyone
GUN ZOMBIE,4.4,5000000,0,2967,243121,3.80E+07,Free,5.3,2.3 and up,GAME,Arcade,Teen
AK Lodi Films,4.9,100,0,2669,23,2.1,Free,1.1,4.0 and up,VIDEO_PLAYERS,Video Players & Editors,Everyone
Gun Mod: Guns in Minecraft PE,3.6,5000000,0,1585,33812,1.20E+07,Free,2.5,4.1 and up,FAMILY,Entertainment,Teen
Kymco AK 550,4.3,1000,0,2211,47,5.80E+07,Free,1,2.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
AK Math Coach,3.6,50000,0,2753,283,1.80E+07,Free,1.3,2.3.3 and up,FAMILY,Education,Everyone
Shoot Strike War Fire,4.1,10000000,0,1602,82827,2.00E+07,Free,1.1.5,4.0 and up,GAME,Arcade,Teen
AL.com,3.4,50000,0,1592,803,8,Free,3.7.10-0d44b899,4.1 and up,NEWS_AND_MAGAZINES,News & Magazines,Everyone 10+
University of Alabama,4.5,50000,0,1827,302,3,Free,3.3,4.1 and up,FAMILY,Education,Everyone
Alabama Gameday Live,4.7,1000,0,1658,19,1.20E+07,Free,2.0.1,4.2 and up,SPORTS,Sports,Everyone
AL.com: Alabama Football News,4.5,10000,0,1592,459,8,Free,3.7.10-0d44b899,4.1 and up,SPORTS,Sports,Everyone 10+
Alabama Road Trips,4.4,10000,0,1861,71,2.80E+07,Free,1.8.7,4.0 and up,TRAVEL_AND_LOCAL,Travel & Local,Everyone
Alabama DMV Permit Test - AL,4.3,10000,0,1750,218,2.90E+07,Free,6.0.3,4.4 and up,FAMILY,Education,Everyone
Al-Quran (Free),4.6,10000000,0,1656,218451,4.7,Free,3.2.3,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Official AL Fishing & Hunting,4.2,50000,0,1870,1291,4.00E+07,Free,5.29.77 Domain 427,4.4 and up,TRAVEL_AND_LOCAL,Travel & Local,Everyone
Al Quran (Tafsir & by Word),4.8,500000,0,1585,57400,1.40E+07,Free,1.6.5,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Al Quran Indonesia,4.8,10000000,0,1661,445756,1.60E+07,Free,2.6.22,4.0 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Al'Quran Bahasa Indonesia,4.6,10000000,0,1646,361780,9.7,Free,4.1,2.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Al Quran Al karim,4.6,1000000,0,1852,41608,4.90E+07,Free,1.1.7,2.2 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Al jazeera TV,4.6,100000,0,2340,9952,3.7,Free,1.0.0,4.0.3 and up,FAMILY,Entertainment,Teen
Al-Muhaffiz,4.7,50000,0,1684,2319,2.70E+07,Free,10.1,4.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Al Quran Audio (Full 30 Juz),4.7,1000000,0,2012,7878,3.6,Free,4,2.3 and up,FAMILY,Education,Everyone
Quran for All (Al-Huda Int.),4.8,100000,0,1758,6696,5.3,Free,3.1.0,4.0 and up,FAMILY,Education,Everyone
AL Voice Recorder,3.6,1000000,0,2200,4832,2.4,Free,2.1.7.3,3.0 and up,PRODUCTIVITY,Productivity,Everyone
Ayat - Al Quran,4.7,5000000,0,1724,173394,8.5,Free,2.9.1,4.0 and up,FAMILY,Education,Everyone
Quran Juz-30 - Mahad al Zahra,4.6,100000,0,2220,2654,6.7,Free,1.10.0,2.2 and up,FAMILY,Education,Everyone
Al Mayadeen,4.7,500000,0,1690,13620,9,Free,2.137,4.1 and up,NEWS_AND_MAGAZINES,News & Magazines,Everyone
Al-Quran Al-Muallim,4.5,10000,0,3368,199,266000,Free,1.0beta,2.2 and up,FAMILY,Education,Everyone
Al-Quran 30 Juz free copies,4.5,500000,0,2175,12322,2.70E+07,Free,3,2.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Koran Read &MP3 30 Juz Offline,4.8,1000000,0,1700,29551,6.70E+07,Free,1.0.7,4.0.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Al Quran MP3 - Quran ReadingÂ®,4.7,1000000,0,1682,47463,2.20E+07,Free,4.4,4.0.3 and up,FAMILY,Education,Everyone
Al'Quran Bahasa Indonesia PRO,4.7,10000,4.49,1660,1340,1.10E+07,Paid,4.0.5,2.2 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Hafizi Quran 15 lines per page,4.7,1000000,0,1855,55011,6.80E+07,Free,1.1.3,4.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Al-Quran Ahmad Saud Offline,4.7,100000,0,2305,7116,4.00E+07,Free,1,2.3.3 and up,FAMILY,Education,Everyone
12 Step Meditations & Sober Prayers AA NA AL-ANON,4.7,50000,0,1774,759,1.50E+07,Free,1.4.5,4.1 and up,LIFESTYLE,Lifestyle,Everyone 10+
Al Quran Free - Ø§Ù„Ù‚Ø±Ø¢Ù† (Islam),4.7,50000,0,2846,1777,2.30E+07,Free,1.1,2.2 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Taha Al Junaid Quran Mp3,4.6,50000,0,2077,518,4.2,Free,1.1,2.3.3 and up,LIFESTYLE,Lifestyle,Everyone
Surah Al-Waqiah,4.7,100000,0,2717,1201,2.9,Free,1,2.3.3 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
Hisnul Al Muslim - Hisn Invocations & Adhkaar,4.6,100000,0,1801,3234,8.50E+07,Free,1.7.22,4.1 and up,BOOKS_AND_REFERENCE,Books & Reference,Everyone
I AM RICH,3.9,10000,0,1877,1455,1.1,Free,1,2.3 and up,FAMILY,Entertainment,Everyone
Amazon for Tablets,4,10000000,0,1584,141584,2.20E+07,Free,16.14.0.850,4.4 and up,SHOPPING,Shopping,Teen
I am Rich Person,4.2,1000,37.99,1962,134,1.8,Paid,1,4.0.3 and up,LIFESTYLE,Lifestyle,Everyone
I am Rich Premium Plus,4.6,10000,18.99,1748,459,2,Paid,1.1,4.0.3 and up,FINANCE,Finance,Everyone
I Am Innocent,4.4,1000000,0,1592,208501,5.60E+07,Free,2.8.307,4.0.3 and up,GAME,Adventure,Teen
i am rich,3.9,1000,0,1636,213,2.9,Free,1,4.0 and up,BUSINESS,Business,Everyone
I am Bread,4,10000,4.99,2227,630,2.00E+07,Paid,1.6.1,4.4 and up,GAME,Adventure,Everyone
Where Am I At?,3.8,10000,0,2245,39,1.20E+07,Free,1.2,4.1 and up,TRAVEL_AND_LOCAL,Travel & Local,Everyone
Where Am I? GPS Loc,4.6,10000,0,1843,68,4.2,Free,5,4.0.3 and up,TRAVEL_AND_LOCAL,Travel & Local,Everyone
I am Millionaire - Richest guy in the town,3.6,5000,2.49,1623,126,1.4,Paid,8,4.1 and up,LIFESTYLE,Lifestyle,Everyone
Coast To Coast AM Insider,3.9,100000,0,1792,4581,2.10E+07,Free,5.0.108,4.4 and up,NEWS_AND_MAGAZINES,News & Magazines,Everyone
I Am Wizard,4.2,100000,0,1705,1493,5.70E+07,Free,1.0.9,4.1 and up,FAMILY,Strategy,Everyone
What Am I? - Brain Teasers,4.2,100000,0,2066,4537,1.50E+07,Free,2.2,4.0.3 and up,GAME,Trivia,Everyone
Who am I? (Biblical),4.5,500000,0,1905,5849,5.1,Free,1.2.2_comAds,4.0.3 and up,GAME,Trivia,Everyone
DWWW 774 Ultimate AM Radio,4.7,10000,0,1619,327,3.10E+07,Free,4.0.9,4.1 and up,NEWS_AND_MAGAZINES,News & Magazines,Everyone
Anno: Build an Empire,3.5,1000000,0,2457,33944,2.80E+07,Free,2.0.0,4.1 and up,FAMILY,Strategy,Everyone 10+
Vikings: an Archer's Journey,4.5,1000000,0,1816,10256,3.90E+07,Free,2.1.0,4.3 and up,GAME,Action,Everyone
Trell: An app for Explorers | Best Wanderlust App,4.6,100000,0,1584,8004,3.40E+07,Free,3.4.8,4.1 and up,LIFESTYLE,Lifestyle,Teen
The Simsâ„¢ FreePlay,4.3,10000000,0,1599,931503,3.10E+07,Free,5.39.1,4.0.3 and up,FAMILY,Simulation,Teen
My Emma :),4.1,10000000,0,2068,245839,7.60E+07,Free,2.7.0,4.1 and up,FAMILY,Casual,Everyone
League of Gamers - Be an E-Sports Legend!,4.5,5000000,0,1589,68072,4.00E+07,Free,1.1.7,4.1 and up,SPORTS,Sports,Everyone
Draw a Stickman: EPIC Free,4.2,10000000,0,2792,210317,4.60E+07,Free,1.4.3.104,2.3.3 and up,GAME,Adventure,Everyone 10+
My Horse,4.5,10000000,0,1653,1333338,8.7,Free,1.34.1,2.3.3 and up,FAMILY,Casual,Everyone
My Boo - Your Virtual Pet Game,4.4,10000000,0,1581,899748,8.00E+07,Free,2.11,4.1 and up,FAMILY,Casual,Everyone
Create apps fast with beautiful design and no code,3.7,1000000,0,1662,23729,2.40E+07,Free,7.2,4.4 and up,BUSINESS,Business,Everyone
THE KING OF FIGHTERS-A 2012(F),4.4,5000000,0,2232,406511,2.10E+07,Free,1.0.5,4.0.3 and up,GAME,Action,Teen
Diary with lock password,4.3,5000000,0,1856,179139,9.7,Free,3.5.3,4.0.3 and up,LIFESTYLE,Lifestyle,Everyone
Fast like a Fox,4.3,5000000,0,1689,104389,1.20E+07,Free,1.4.0,4.2 and up,GAME,Adventure,Everyone
Girls Craft: Exploration,3.8,5000000,0,1581,130689,5.70E+07,Free,1.32,4.2 and up,FAMILY,Simulation,Everyone 10+
The PCH App,4.5,1000000,0,1590,234971,8.10E+07,Free,2.8.7.78579,4.4 and up,LIFESTYLE,Lifestyle,Everyone
"Resume Builder Free, 5 Minute CV Maker & Templates",4.4,1000000,0,1620,72202,6.7,Free,6,4.0.3 and up,BUSINESS,Business,Everyone
AO Surgery Reference,4.7,100000,0,2031,2570,3.8,Free,1.2.6,4.0 and up,MEDICAL,Medical,Everyone
ao,3.5,1000000,0,2367,14145,5.9,Free,1.0.9,4.0 and up,FAMILY,Strategy,Everyone
AO/OTA Fracture Classification,4.9,5000,0,1689,25,4.60E+07,Free,1,5.0 and up,MEDICAL,Medical,Everyone
AO Player,4,1000,0,1807,9,3.3,Free,1.1.4,4.4 and up,EVENTS,Events,Everyone
Ao Oni2,4.1,1000000,0,1686,21223,4.80E+07,Free,1.6.6,4.1 and up,GAME,Adventure,Teen
A. O. Smith,4.2,10000,0,1655,32,3.30E+07,Free,3.0.22,4.0 and up,TOOLS,Tools,Everyone
Arena of Valor: 5v5 Arena Game,4.4,10000000,0,1617,438911,9.90E+07,Free,1.23.1.2,4.0.3 and up,GAME,Action,Teen
PlacarTv Futebol Ao Vivo,4.1,100000,0,1642,2063,4.5,Free,1.0.3,4.0 and up,COMMUNICATION,Communication,Everyone
Virtual lover,4.6,1000000,0,1637,45771,2.80E+07,Free,1.39,4.1 and up,FAMILY,Entertainment,Mature 17+
The Hunt for the Lost Treasure,4.6,100000,2.99,1905,7148,8.1,Paid,1.8,4.0.3 and up,FAMILY,Adventure;Brain Games,Everyone
Attack the Light,4.7,100000,2.99,2473,19209,2.10E+07,Paid,1.1.4,4.0 and up,FAMILY,Role Playing;Action & Adventure,Everyone
Princess Closet : Otome games free dating sim,4.5,1000000,0,1652,29495,5.60E+07,Free,1.11.0,4.0.3 and up,FAMILY,Simulation,Teen
365Scores - Live Scores,4.6,10000000,0,1586,666246,2.50E+07,Free,5.5.9,4.1 and up,SPORTS,Sports,Everyone
PES 2018 PRO EVOLUTION SOCCER,4.4,10000000,0,1618,1721943,2.60E+07,Free,2.3.2,5.0 and up,SPORTS,Sports,Everyone
Mobile Legends: Bang Bang,4.4,100000000,0,1591,8219586,9.90E+07,Free,1.2.97.3042,4.0.3 and up,GAME,Action,Teen
Heroes of Order & Chaos,4.2,10000000,0,1861,690148,2.50E+07,Free,Varies with device,Varies with device,FAMILY,Strategy,Teen
Kill Shot Bravo: Sniper FPS,4.4,10000000,0,1597,579519,9.90E+07,Free,5.1,4.1 and up,GAME,Action,Mature 17+
Tennis Champion 3D - Online Sports Game,4,5000000,0,1639,170973,4.30E+07,Free,2.1,4.1 and up,SPORTS,Sports,Everyone
Carnivores: Dinosaur Hunter,4.2,1000000,0,1613,62636,1.70E+07,Free,1.8.0,4.0.3 and up,GAME,Action,Teen
High School Simulator 2017,4.2,5000000,0,1620,123136,8.00E+07,Free,1,4.0 and up,FAMILY,Simulation,Mature 17+
Hopeless Land: Fight for Survival,4.2,5000000,0,1603,250197,4.40E+07,Free,1,4.1 and up,GAME,Action,Teen
Scanning body and undressing people,3.4,100000,0,1741,1012,1.20E+07,Free,2,3.0 and up,FAMILY,Entertainment,Teen
Ultimate Tennis,4.3,10000000,0,1596,183004,1.00E+08,Free,2.29.3118,4.0.3 and up,SPORTS,Sports,Everyone
Legion of Heroes,4.3,1000000,0,1603,143087,6.90E+07,Free,1.9.22,4.0 and up,FAMILY,Role Playing,Everyone 10+
Soccer Star 2018 Top Leagues Â· MLS Soccer Games,4.6,10000000,0,1610,652940,9.00E+07,Free,1.3.5,4.1 and up,SPORTS,Sports,Teen
Heroes Arena,4.2,10000000,0,1591,336386,8.80E+07,Free,2.0.1,4.0.3 and up,GAME,Action,Everyone 10+
virtual lover 3D,4.6,100000,0,1688,5195,6.40E+07,Free,1.3,4.1 and up,FAMILY,Entertainment,Mature 17+
Range Master: Sniper Academy,4.1,10000000,0,1680,91935,3.90E+07,Free,2.1.3,4.1 and up,SPORTS,Sports,Everyone
DINO HUNTER: DEADLY SHORES,4.4,10000000,0,2088,1381624,5.40E+07,Free,3.1.1,3.0 and up,GAME,Action,Teen
FC Barcelona Official App,4.6,5000000,0,1589,92522,5.60E+07,Free,4.0.14,4.1 and up,SPORTS,Sports,Everyone
Can Your Pet? : Returns - Teen,4.3,1000000,0,1582,45370,1.40E+07,Free,2.59.8,2.3 and up,FAMILY,Simulation,Teen
Bubbu â€“ My Virtual Pet,4.7,10000000,0,1580,394842,7.50E+07,Free,1.5,4.1 and up,FAMILY,Casual;Pretend Play,Everyone
3D Tennis,4.2,50000000,0,1822,1008012,1.30E+07,Free,1.7.7,2.1 and up,SPORTS,Sports,Everyone
Start the Hunt for the Lost Treasure,3.8,10000,0,1905,302,8.1,Free,1.4,4.0.3 and up,FAMILY,Puzzle;Brain Games,Everyone
Scanning under clothes (prank),3.7,100000,0,1778,1443,2.00E+07,Free,3,2.3 and up,FAMILY,Entertainment,Mature 17+
WGT Golf Game by Topgolf,4.3,10000000,0,1591,148083,5.70E+07,Free,1.42.2,4.1 and up,SPORTS,Sports,Everyone
3D Holograms Joke,2.9,5000000,0,2169,31596,3.10E+07,Free,1.5,2.3 and up,FAMILY,Simulation,Teen
Weaphonesâ„¢ Gun Sim Free Vol 1,4.3,10000000,0,1779,598975,3.90E+07,Free,2.4.0,4.0 and up,FAMILY,Simulation,Everyone
Hidden Objects Treasure Hunt Adventure Games,4.3,10000,0,1606,275,2.90E+07,Free,1.0.1,4.4 and up,FAMILY,Puzzle,Everyone
